,title,y,upload_date,view_count
0,ML Lecture [Improving Machine Learning Models Part 1],1,20210505,0
1,"#2 Learn spatial data science, remote sensing, machine learning and AI",1,20210505,1
2,"#6 Learn spatial data science, remote sensing, machine learning and AI",1,20210505,1
3,"#5 Learn spatial data science, remote sensing, machine learning and AI",1,20210505,0
4,Machine Learning Modeling in Breast Cancer Prognosis,1,20210505,0
5,Digital Management #11 - Artificial Intelligence & Machine Learning,1,20210505,2
6,JNTUK-R16 CSE 42 Machine Learning Unit2 MultiClassification Part2,0,20210505,1
7,Announcing... Make: Vol. 77 — Machine Learning (and more!),0,20210505,401
8,ADMET Predictor® 10 2 APX 2  Machine learning platform for ADMET modeling with extended capabilities,0,20210505,3
9,Malware and Machine Learning – A Match Made in Hell | Mikko Hyppönen F-Secure | AI FOR GOOD KEYNOTES,0,20210505,21
10,Bridging Machine Learning and Mechanism Design towards Algorithmic Fairness,1,20210505,2
11,Algorithmic Fairness in Predicting Opioid Use Disorder using Machine Learning,1,20210505,0
12,Machine Learning for .NET Folks Without (or With!) a Ph.D.,0,20210505,0
13,Algo Retailing: Art of Retail combined with Machine Learning & AI. Panel Discussion.,0,20210505,4
14,"Representativeness in Statistics, Politics, and Machine Learning",1,20210505,2
15,Machine Learning & Data Analytics Deliver Smarter Food Experiences,1,20210505,6
16,Ethics of Machine Learning (Day 1),0,20210505,74
17,How to Plan PPC Campaigns in an AI and Machine Learning World,0,20210505,47
18,Introduction To MediaPipe Machine Learning Solutions - Computer Vision Projects,1,20210505,40
19,Exporting Data from MATLAB | Machine Learning,0,20210505,12
20,BRSC ARTIFICIAL INTELLIGENCE & MACHINE LEARNING COURSE : DAY 8 | DEEP LEARNING,0,20210505,20
21,Are you job ready in Machine Learning | Machine Learning Roadmap in 2021 | Great Learning,0,20210505,970
22,Best Colleges for Masters in Data Science in India | Machine Learning and AI | Eligibility Placement,0,20210505,66
23,Mathematics for Machine Learning from Imperial & Coursera: REVIEW,1,20210505,2726
24,"Artificial Intelligence, Machine Learning, dan Deep Learning",1,20210505,67
25,"Descriptive vs Inferential Statistics | Math, Statistics for data science, machine learning",1,20210505,1022
26,Lecture-6- Machine Learning,0,20210505,34
27,"AI, ANN & DL 13 - Introduction to Deep Learning",1,20210505,6
28,How do Aggregate Intellect Machine Learning Product Competitions work?,0,20210505,119
29,Introduction to Machine Learning - Lecture 12,1,20210505,98
30,"Python: Integer, Float & Strings | L 9 | Data Science & Machine Learning #VishvadeepGothi",1,20210505,720
31,5.1.3. Vector Operations - in Python - Part 1 | Math for Machine Learning | Linear Algebra,1,20210505,85
32,Prediction Using Supervised Machine Learning | Data Science and Business Analytics | TSF,0,20210505,7
33,Evaluating & Deploying ML Algorithm - Day-3 _ Machine Learning Master Class,0,20210505,3617
34,Supervised Machine Learning Algorithm,1,20210505,3
